ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GFQ1016 Шапочка для девочек Ментол(27);Шапочка для девочекСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: МАМИНА ПРИНЦЕССКА;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862853.jpg;"1-3"
;GFQ1017 Шапочка для девочек Коралловый(16);Шапочка для девочекСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ПАПИНА ПИРАТКА;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862883.jpg;"1-3"
;GFQ1017/1 Шапочка для девочек Бирюза(4);Шапочка для девочекСостав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ПАПИНА ПИРАТКА;89.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196862903.jpg;"1-3;3-6;6-9;9-12"
;GFQ1201/1 Шапка для девочек Джинс(10);Шапочка для девочек. Двойная шапочка с блеском золотого металлика в принте, декоративные ушки.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: #TRENDY BABY;98.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196863263.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196863281.jpg;"1-3"
;BFRJ1822 Комбинезон для мальчиков Красный(18);Комбинезон для мальчиков из интерлока с длинным рукавом. Застёжка на кнопки по центру изделия и по ножкам. Горловина и низ брючин обработаны пайпингом. Glossy rubber принт с милым символом года, глиттером и золотом. Перевод Счастливого МУУ года. Два варианта исполнения с ползунками для возраста 1-6 месяцев и брючками для возраста 6-12 месяцев.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ЗимаКоллекция: HAPPY MOO YEAR;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196869053.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869071.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869092.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869114.jpg;"1-3;6-9;9-12"
;BFRJ1822/1 Комбинезон для мальчиков Красный(18);Комбинезон из интерлока для мальчиков с длинным рукавом. Застёжка на кнопки на левом плече и по ножкам. Стойкий центральный принт. Имитация подтяжек, галстука бабочки и брючек в клетку. Перевод Загрузка Рождества. Два варианта исполнения с ползунками для возраста 1-6 месяцев и брючками для возраста 6-12 месяцев.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ЗимаКоллекция: HAPPY MOO YEAR;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196869133.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869151.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869172.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869194.jpg;"1-3"
;BFRJ1822/2 Комбинезон для мальчиков Красный(18);Комбинезон для мальчиков. Застёжка на кнопки на плечевой и нижней частях изделия. Комбинезон имитирует элегантный костюм, жилетку, создаёт эффект рубашки с галстуком. Низ имитация классических брючек. Имеет два варианта исполнения с ползунками для возраста 1-6 месяцев и штанишками для возраста 6-12 месяцев.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ЗимаКоллекция: HAPPY MOO YEAR;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196869213.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869231.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869242.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196869264.jpg;"1-3"
;GFRJ1201 Комбинезон для девочек Джинс(10);Комбинезон для девочек из интерлока с длинным рукавом, застежкой на кнопки на плечах и по ножкам. Имитация джинсы в нижней части переда. Мягкий и прочный принт с золотым металликом. Два варианта исполнения: с ползунками для возраста 1-6 месяцев и брючками для возраста 6-12 месяцев.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: #TRENDY BABY;324.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196879363.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196879381.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196879402.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196879424.jpg;"1-3"
;GFDJ1786 Платье для девочек Красный (18);Платье для девочек. Яркое праздничное платье с пышной юбкой. Центральный принт блестящий символ года мышка и надпись на английском, перевод Загадай желание!. На юбке фольгированный принт полоска со снежинками. Застёжка на плече на две кнопки.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ЗимаКоллекция:;255.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196885613.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196885631.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196885652.jpg;"3-6;6-9"
;GFDT1111/1 Платье для девочек Белый(2);Платье для девочек. Яркое весеннее платье А-силуэта в all over принт с сочными тюльпанами. Отделка горловины из основной ткани контрастного цвета. Юбка декорирована воланом из основной ткани и многослойной мягкой сеткой из жёлтого фатина.Состав: 100%хлопок, вставка: 100%полиамидВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: LIMITED EDITION;382.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196885913.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196885924.jpg;"3-6"
;GFDT1166 Платье для девочек Голубой(9);Платье для девочек. Платье из легкой кулирной глади. Умеренный объем в верхней части, застежка на две кнопки на левом плече. На рукаве легкая сборка в области плеча. Контрастная отделка горловины. Платье отрезное по талии, нижняя часть в виде широкой, присборенной по шву притачивания юбки. Мягкий и стойкий принт.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: СЧАСТЬЕ ПРИЛЕТЕЛО;235.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196888623.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196888651.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196888662.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196888684.jpg;"3-6;6-9"
;BFOT1169/1 Полукомбинезон для мальчиков Красный(18);Полукомбинезон для мальчиков с коротким рукавом. Боди из интерлока. Имитация футболки и трусиков. Застёжка на кнопки на левом плече и по низу изделия. Мягкий стойкий центральный принт.Состав: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: НА СТРАЖЕ СПОКОЙСТВИЯ;167.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196889143.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196889151.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196889172.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196889194.jpg;"1-3"
;GFANP1201 Комплект для девочек Красный(18);Комплект для девочек из футера: свитшот и брючки. Свитшот умеренного объема. Боковые швы переведены на перед. По низу переда и спинки пришиты разные по ширине пояса, которые чуть собирают силуэт и создают перепад длин, образуют небольшие разрезы на передней части изделия. Манжеты из основной ткани. Застёжка на кнопки на левом плече. Принт с блеском золотого металлика, перевод Новая принцесса прибыла. Брючки свободного объема, с манжетами из основной ткани.Состав: верх: 96%хлопок 4%эластан, низ: 96%хлопок 4%эластанВозрастная группа: Новорожденные  (0-12 мес)Сезон: ОсеньКоллекция: #TRENDY BABY;480.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196896103.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196896121.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196896142.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196896164.jpg;"1-3;6-9"
;GFATP1165 Комплект для девочек Розовый(37);Комплект для девочек: футболка и брючки. Футболка из интерлока с втачным коротким рукавом и круглым вырезом горловины. Застежка на кнопки на левом плече. Перепад длин по низу, спинка длиннее. Мягкий и прочный фотопринт с блестящей как будто сахарной посыпкой. Перевод принта: Шикарная, фантастическая. Свободные брючки из интерлока, по низу на манжетах.Состав: верх: 100%хлопок, низ: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: ТО ТУТ - ТО ТАМ;285.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196896183.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196896201.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196896222.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196896234.jpg;"1-3;3-6;6-9"
;GFAOL1166 Комплект для девочек Голубой(9);Комплект для девочек: боди и лосины. Боди из интерлока с длинным рукавом, без застежки. Для удобства одевания через голову на плече сделан перехлест деталей переда и спинки. По талии вшит волан из более легкой кулирной глади с красиво закрученным верхним краем, по ножкам застежка на кнопки. Мягкий и прочный принт. Лосины из интерлока комфортного объема.Состав: верх: 100%хлопок, низ: 100%хлопокВозрастная группа: Новорожденные  (0-12 мес)Сезон: ВеснаКоллекция: СЧАСТЬЕ ПРИЛЕТЕЛО;343.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196896993.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196897011.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196897022.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196897044.jpg;"3-6;6-9"
