ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;GZWL3078 Куртка для девочек Малиновый(25);Куртка для девочек. Рекомендованный температурный режим: не ниже -15°С. Новые лекала куртки - имитация парки. Умеренный объем, втачной рукав, низ фигурный с простроченными вставками по бокам. Сзади регулировка по низу эластичным шнуром. По спинке регулировка кулиской. Капюшон, пристегивающийся на молнию, имеет форму колпачка с меховым помпоном. Трикотажный воротник из рибаны. Боковые карманы с листочкой.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: В ПОИСКАХ БЕМБИ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125093.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125111.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125122.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125144.jpg;"2;3;4;5;6"
;GZWL3078/1 Куртка для девочек Изумрудный(14);Куртка для девочек. Новинка! Куртка умеренного объёма, с рельефами по переду и спинке, создающими интересный силуэт, сужающийся от линии бедер к низу. Впервые на деталях переда, спинки и рукавах используется стежка в виде крупных ромбов. Меховая опушка съемная. Трикотажный воротник из рибаны. Регулировка объема по низу изделия. Карманы в рельефных швах. Внутренняя манжета по низу рукава из рибаны.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: В ПОИСКАХ БЕМБИ;1271.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125173.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125191.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125202.jpg;"2;3;4;5;6"
;GZWL3080 Куртка для девочек Розовый(37);Куртка для девочек. Рекомендованный температурный режим: не ниже -15°С. Новинка! Демисезонная куртка на синтепоне, с рельефами по переду и спинке, силуэт - сужающийся от линии бедер к низу. Застежка на тесьму-молнию, наружная планка на кнопках. Воротник-стойка с хлопковым рибом с внутренней стороны, капюшон не отстегивается, меховая опушка отстегивается (на замке) Внутренние ветрозащитные манжеты рукавов - из риба. Ткань с водоотталкивающей пропиткой.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: НАДО ВЕРИТЬ В ЧУДО;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125223.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125241.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125262.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125284.jpg;"2;3;4;5;6"
;GZWL3135 Куртка для девочек Темно-серый(43);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне, силуэт «легкая трапеция». Контрастный перепад длин между спинкой и передом. Двухшовный неотстегивающийся капюшон с регулировкой объема. Курточная ткань с двусторонним водоотталкивающим покрытием. Воротник изнутри отделан рибаной. Широкая ветрозащитная планка. Боковые карманы с объемными клапанами. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из рибаны. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЦВЕТ НАСТРОЕНИЯ JEANS;1564.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125453.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125471.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125482.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125504.jpg;"2;3;4;5;6"
;GZWL3136 Куртка для девочек Серый(40);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне. Контрастный перепад длин между спинкой и передом. Двухшовный неотстегивающийся капюшон с регулировкой объема. Курточная ткань с двусторонним водоотталкивающим покрытием. Воротник изнутри отделан рибаной. Широкая ветрозащитная планка. Боковые карманы с объемными клапанами. Внутренний шнур со стоппером регулирует объем куртки по низу. Внутренняя манжета по низу рукава из рибаны. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 60%хлопок 40%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: LIKE ЗА УЛЫБКУ;1173.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125533.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125551.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125562.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125584.jpg;"2;3;4;5;6"
;GZWL3137 Куртка для девочек Желтый(11);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне. Округлые формы отстрочки подчеркивают силуэт. Двухшовный неотстегивающийся капюшон с регулировкой объема, с декоративным рибом по краю. Воротник изнутри отделан рибаной. Курточная ткань с двусторонним водоотталкивающим покрытием. Объем по низу регулируется резиной со стопперами. Боковые карманы на молнии, с ограничителями. Пуллеры из декоративной принтованной тесьмы с крупными кольцами. Фурнитура с эффектом серебра, рибана и шпульная резина — с люрексом. Манжета из декоративного риба по низу рукава. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 65%хлопок 35%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЛЕД И РОЗЫ;1271.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125603.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125611.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125632.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125654.jpg;"2;3;4"
;GZWL3138 Куртка для девочек Малиновый(25);Куртка для девочек. Рекомендуемый температурный режим: не ниже -15°С. Куртка осенняя на синтепоне. Округлые формы отстрочки подчеркивают силуэт. Двухшовный неотстегивающийся капюшон с регулировкой объема, с декоративным рибом по краю. Воротник изнутри отделан рибаной. Курточная ткань с двусторонним водоотталкивающим покрытием. Внутренний шнур со стоппером регулирует объем куртки по низу. Боковые карманы на молнии. Пуллеры из декоративной тесьмы с крупными кольцами. Фурнитура с эффектом золота, рибана и шпульная резина — с люрексом. Манжета из декоративного риба по низу рукава. Световозвращающие элементы.Состав: 100%полиэстер, подклад: 65%хлопок 35%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЗАЧАРОВАННАЯ;1271.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125663.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125681.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125702.jpg;"2;3;4;5;6"
;GZWL3195 Куртка для девочек Серый(40);Осенняя удлиненная куртка для девочек , силуэт кокон, подчеркнутый отстрочкой на переде и спинке. Утеплитель синтепон 200гр/м2. Курточная ткань с двусторонним водоотталкивающим покрытием. Подклад из хлопкового трикотажа по стану и в капюшоне, из тонкого полиэстера в рукавах. Двухшовный неотстегивающийся капюшон, переходящий в стойку воротника. Регулировка объема капюшона и по низу изделия принтованными репсовыми лентами, продетыми в крупные люверсы. Перевод: Песня сердца. Внутренний воротник и манжеты по низу рукава из рибаны. Карманы с листочкой. Световозвращающие элементы на спинке и в боковых швах. Рекомендуемый температурный режим: не ниже -15°С.Состав: 100%полиэстер, подклад: 65%хлопок 35%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ROSE SONG;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125723.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125741.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125762.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125784.jpg;"3;4;5"
;GZWL3197 Куртка для девочек Джинс(10);Осенняя удлиненная куртка для девочек , силуэт кокон, подчеркнутый отстрочкой на переде и спинке. Утеплитель синтепон 200гр/м2. Курточная ткань с двусторонним водоотталкивающим покрытием. Подклад из хлопкового трикотажа по стану и в капюшоне, из тонкого полиэстера в рукавах. Двухшовный неотстегивающийся капюшон, переходящий в стойку воротника с регулировкой объема. Воротник изнутри отделан рибаной. Боковые карманы на молнии. Пуллеры из принтованной репсовой ленты с крупными кольцами. Перевод принта: Не позволяй никому погасить твое сияние. Манжеты рукавов и край капюшона из полосатой рибаны с люрексом. Регулировка по низу внутренним шнуром со стоппером. Фурнитура с эффектом серебра. Световозвращающие принты и элементы. Рекомендуемый температурный режим: не ниже -15°С.Состав: 100%полиэстер, подклад: 65%хлопок 35%полиэстер, подклад рукавов: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (1-6)Сезон: ОсеньКоллекция: ЗДЕСЬ РАСТУТ ЭДЕЛЬВЕЙСЫ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196125803.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125821.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125832.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196125854.jpg;"2"
;GZWL4078 Куртка для девочек Малиновый(25);Куртка для девочек. Новые лекала куртки - имитация парки. Умеренный объем, втачной рукав, низ фигурный с простроченными вставками по бокам. Сзади регулировка по низу эластичным шнуром. По спинке регулировка кулиской. Капюшон, пристегивающийся на молнию, имеет форму колпачка с меховым помпоном. Трикотажный воротник из рибаны. Боковые карманы с листочкой.Состав: 100%полиэстер, подклад: 100%полиэстер, утеплитель: 100%полиэстерВозрастная группа: Дети  (7-11)Сезон: ОсеньКоллекция: В ПОИСКАХ БЕМБИ;1369.0;15;;https://optom-brend.ru/image/data/transfer/csvParser/263/16196126203.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126221.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126232.jpg https://optom-brend.ru/image/data/transfer/csvParser/263/16196126254.jpg;"10;7;8;9"
