ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;2266541441-41 блузка женская голубой;95% хлопок,5% эластан;912.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559107010161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107031161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107042161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107053161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107074161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107085161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107096161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107117161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107128161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559107149161.jpg;"L;M;S;XL"
;2265421721-101 брюки джинсовые женские светлый индиго;100% хлопок;1710.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559106720161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559106741161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559106752161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559106773161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559106784161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559106795161.jpg;"2XL;L;M;S;XL"
;2265120320-19 блузка женская мятный;68% полиэстер,26% полиамид,6% шерсть;1482.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559104040161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559104051161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559104072161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559104083161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559104104161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559104115161.jpg;"L;M;S;XL;XS"
;2265120320-60 блузка женская молочный;68% полиэстер,26% полиамид,6% шерсть;1482.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559103710161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103721161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103742161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103753161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103774161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103785161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103796161.jpg;"L;M;XL;XS"
;2367107307-61 блузка женская кремовый/светлый беж;100% хлопок;1254.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559103050161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103071161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103082161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103093161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103114161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103125161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559103146161.jpg;"L;S;XL"
;2367205705-50 брюки женские черный;100% хлопок;1254.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559102690161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102701161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102722161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102733161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102744161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102765161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102776161.jpg;"XL;XS"
;2367205705-13 брюки женские хаки/оливковый;100% хлопок;1254.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559102480161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102501161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102512161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102533161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102544161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102555161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102576161.jpg;"2XL"
;2367205705-61 брюки женские кремовый/светлый беж;100% хлопок;1254.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559101990161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102001161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102022161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102033161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102054161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559102065161.jpg;"2XL;M;XL;XS"
;2367221741-32 брюки женские серый;95% полиэстер,5% эластан;1482.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559101740161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101751161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101762161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101783161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101794161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101805161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101826161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101837161.jpg;"L;M;S;XL;XS;XXS"
;2163527452-1 джемпер женский белый;100% хлопок;1026.0;15;;https://optom-brend.ru/image/data/transfer/brand/161/16559101100161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101121161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101132161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101153161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101164161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101185161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101196161.jpg https://optom-brend.ru/image/data/transfer/brand/161/16559101217161.jpg;"L;S;XL"
